Open Time (ET),Close Time (ET),Trading Date,Direction,Entry Price,Exit Price,Profit/Loss,Status,Duration (min),Is Quick Stop,ADX,Plus DI,Minus DI,Trend Direction,Trend Strength,Is Strong Trend,Is Golden Cross,Is Death Cross,Keltner Upper,Keltner Middle,Keltner Lower,Entry vs Keltner,Bollinger Upper,Bollinger Lower,BB Bandwidth,Is Squeezing,Volatility Level,ATR
2025-01-15 10:37:01,2025-01-15 11:06:00,2025-01-15,Short,5976.00,5979.75,-187.50,Loss,28,false,36.65,8.48,25.46,Down,Strong,true,false,true,5990.39,5984.91,5979.43,Below Lower,5992.55,5977.27,0.0026,true,Normal,3.65
2025-01-15 11:32:01,2025-01-15 12:03:00,2025-01-15,Short,5962.75,5966.25,-175.00,Loss,30,false,25.57,12.98,42.09,Down,Strong,true,false,true,5977.85,5972.14,5966.43,Below Lower,5981.67,5962.60,0.0032,true,Normal,3.81
2025-01-16 09:47:01,2025-01-16 10:19:00,2025-01-16,Short,5987.25,5986.00,62.50,Profit,31,false,25.36,12.74,31.95,Down,Strong,true,false,true,6000.95,5995.55,5990.15,Below Lower,6004.58,5986.52,0.0030,true,Normal,3.60
2025-01-16 11:43:01,2025-01-16 11:54:00,2025-01-16,Short,5978.75,5990.50,-587.50,Loss,10,true,34.11,10.51,32.77,Down,Strong,true,false,true,5995.18,5989.65,5984.12,Below Lower,5998.86,5980.44,0.0031,true,Normal,3.69
2025-01-21 10:13:01,2025-01-21 10:28:00,2025-01-21,Short,6044.00,6056.75,-637.50,Loss,14,true,29.88,12.48,36.88,Down,Strong,true,false,true,6063.72,6056.80,6049.88,Below Lower,6066.68,6046.92,0.0033,true,Normal,4.61
2025-01-27 09:34:01,2025-01-27 10:07:00,2025-01-27,Long,6027.25,6025.75,-75.00,Loss,32,false,40.53,44.15,6.37,Up,Strong,true,true,false,6011.47,6004.60,5997.73,Above Upper,6026.81,5982.39,0.0074,true,Normal,4.58
2025-01-27 10:18:01,2025-01-27 10:25:00,2025-01-27,Short,6020.25,6033.00,-637.50,Loss,6,true,22.23,12.98,19.51,Doji,Weak,false,false,true,6036.07,6028.63,6021.18,Below Lower,6037.60,6019.65,0.0030,true,Normal,4.96
2025-01-27 10:29:01,2025-01-27 10:52:00,2025-01-27,Long,6038.00,6038.00,0.00,Loss,22,false,20.65,29.19,11.11,Doji,Weak,false,true,false,6036.01,6028.21,6020.42,Above Upper,6040.22,6016.20,0.0040,true,Normal,5.20
2025-01-27 11:01:01,2025-01-27 12:28:09,2025-01-27,Short,6030.75,6031.29,-26.91,Loss,87,false,34.31,14.77,23.60,Down,Strong,true,false,true,6044.97,6038.46,6031.96,Below Lower,6047.94,6028.98,0.0031,true,Normal,4.34
2025-01-27 12:34:01,2025-01-27 12:48:00,2025-01-27,Long,6030.00,6023.00,-350.00,Loss,13,true,23.24,31.54,14.18,Doji,Weak,false,true,false,6028.51,6023.28,6018.04,Above Upper,6032.47,6014.08,0.0031,true,Normal,3.49
2025-01-27 14:54:01,2025-01-27 15:13:00,2025-01-27,Short,6018.50,6027.00,-425.00,Loss,18,false,56.18,12.24,28.83,Down,Very Strong,true,false,true,6032.70,6027.31,6021.92,Below Lower,6041.26,6013.36,0.0046,true,Normal,3.59
2025-01-28 09:47:01,2025-01-28 10:01:00,2025-01-28,Short,6029.00,6042.75,-687.50,Loss,13,true,38.24,12.18,45.01,Down,Strong,true,false,true,6048.42,6042.60,6036.78,Below Lower,6059.44,6025.76,0.0056,true,Normal,3.88
2025-01-28 10:02:01,2025-01-28 11:25:08,2025-01-28,Long,6049.25,6070.06,1040.50,Profit,83,false,32.04,34.27,16.62,Up,Strong,true,true,false,6041.98,6035.78,6029.57,Above Upper,6048.75,6022.80,0.0043,true,Normal,4.14
