Timestamp,Timestamp_ET,Order_Type,Entry_Type,Status,Low,High,Entry_Point,Stop_Loss,Take_Profit,Profit_Multiplier,Risk_Dollars,Contracts,At_Risk,Potential,Placed_Timestamp,Placed_Timestamp_ET,Filled_Timestamp,Filled_Timestamp_ET,Close_Timestamp,Close_Timestamp_ET,Cancel_Reason
1729677000000,2024-10-23 09:50:00,Short,EngulfingOrderBlock,Loss,5870.75,5873.0,5870.75,5873.0,5866.25,2.0,550.0,48,540.0,1080.0,1729677060000,2024-10-23 09:51:00,1729677060000,2024-10-23 09:51:00,1729677480000,2024-10-23 09:58:00,
1729679160000,2024-10-23 10:26:00,Long,EngulfingOrderBlock,Cancelled,5858.75,5860.5,5860.5,5858.75,5864.0,2.0,550.0,62,542.5,1085.0,1729679220000,2024-10-23 10:27:00,,,1729679340000,2024-10-23 10:29:00,A full candle fell outside the range of the order.
1729679400000,2024-10-23 10:30:00,Short,EngulfingOrderBlock,Loss,5866.0,5868.25,5866.0,5868.25,5861.5,2.0,550.0,48,540.0,1080.0,1729679460000,2024-10-23 10:31:00,1729679460000,2024-10-23 10:31:00,1729679580000,2024-10-23 10:33:00,
1729682580000,2024-10-23 11:23:00,Short,EngulfingOrderBlock,Cancelled,5852.0,5855.25,5852.0,5855.25,5845.5,2.0,550.0,33,536.25,1072.5,1729682640000,2024-10-23 11:24:00,,,1729683180000,2024-10-23 11:33:00,More than ten minutes have passed and the candle wicked outside the order.
1729683240000,2024-10-23 11:34:00,Long,EngulfingOrderBlock,Profit,5845.25,5846.5,5846.5,5845.25,5849.0,2.0,550.0,88,550.0,1100.0,1729683300000,2024-10-23 11:35:00,1729683300000,2024-10-23 11:35:00,1729683300000,2024-10-23 11:35:00,
1729684380000,2024-10-23 11:53:00,Short,EngulfingOrderBlock,Profit,5853.25,5854.75,5853.25,5854.75,5850.25,2.0,550.0,73,547.5,1095.0,1729684440000,2024-10-23 11:54:00,1729684440000,2024-10-23 11:54:00,1729684440000,2024-10-23 11:54:00,
1729685280000,2024-10-23 12:08:00,Long,EngulfingOrderBlock,Loss,5844.5,5846.75,5846.75,5844.5,5851.25,2.0,550.0,48,540.0,1080.0,1729685340000,2024-10-23 12:09:00,1729685340000,2024-10-23 12:09:00,1729685700000,2024-10-23 12:15:00,
1729688160000,2024-10-23 12:56:00,Long,EngulfingOrderBlock,Cancelled,5837.25,5839.5,5839.5,5837.25,5844.0,2.0,550.0,48,540.0,1080.0,,,,,1729688460000,2024-10-23 13:01:00,More than ten minutes have passed and the candle wicked outside the order.
1729689360000,2024-10-23 13:16:00,Long,EngulfingOrderBlock,Cancelled,5822.75,5825.75,5825.75,5822.75,5831.75,2.0,550.0,36,540.0,1080.0,,,,,1729689720000,2024-10-23 13:22:00,More than ten minutes have passed and the candle wicked outside the order.
1729690620000,2024-10-23 13:37:00,Long,EngulfingOrderBlock,Cancelled,5820.5,5822.25,5822.25,5820.5,5825.75,2.0,550.0,62,542.5,1085.0,,,,,1729690740000,2024-10-23 13:39:00,A full candle fell outside the range of the order.
